"module name","license","repository"
"@jimp/bmp@0.8.4","MIT",""
"@jimp/core@0.8.4","MIT","https://github.com/oliver-moran/jimp"
"@jimp/custom@0.8.4","MIT",""
"@jimp/gif@0.8.4","MIT",""
"@jimp/jpeg@0.8.4","MIT",""
"@jimp/plugin-blit@0.8.4","MIT",""
"@jimp/plugin-blur@0.8.4","MIT",""
"@jimp/plugin-color@0.8.4","MIT",""
"@jimp/plugin-contain@0.8.4","MIT",""
"@jimp/plugin-cover@0.8.4","MIT",""
"@jimp/plugin-crop@0.8.4","MIT",""
"@jimp/plugin-displace@0.8.4","MIT",""
"@jimp/plugin-dither@0.8.4","MIT",""
"@jimp/plugin-flip@0.8.4","MIT",""
"@jimp/plugin-gaussian@0.8.4","MIT",""
"@jimp/plugin-invert@0.8.4","MIT",""
"@jimp/plugin-mask@0.8.4","MIT",""
"@jimp/plugin-normalize@0.8.4","MIT",""
"@jimp/plugin-print@0.8.4","MIT",""
"@jimp/plugin-resize@0.8.4","MIT",""
"@jimp/plugin-rotate@0.8.4","MIT",""
"@jimp/plugin-scale@0.8.4","MIT",""
"@jimp/plugins@0.8.4","MIT",""
"@jimp/png@0.8.4","MIT",""
"@jimp/tiff@0.8.4","MIT",""
"@jimp/types@0.8.4","MIT",""
"@jimp/utils@0.8.4","MIT",""
"@oopsunome/watermark@1.0.6","MIT","https://github.com/iTonyYo/watermark"
"any-base@1.1.0","MIT","https://github.com/HarasimowiczKamil/any-base"
"base64-js@1.3.1","MIT","https://github.com/beatgammit/base64-js"
"bmp-js@0.1.0","MIT","https://github.com/shaozilee/bmp-js"
"buffer-equal@0.0.1","MIT","https://github.com/substack/node-buffer-equal"
"buffer@5.4.3","MIT","https://github.com/feross/buffer"
"core-js@2.6.9","MIT","https://github.com/zloirock/core-js"
"debug@4.1.1","MIT","https://github.com/visionmedia/debug"
"define-properties@1.1.3","MIT","https://github.com/ljharb/define-properties"
"dom-walk@0.1.1","MIT","https://github.com/Raynos/dom-walk"
"es-abstract@1.15.0","MIT","https://github.com/ljharb/es-abstract"
"es-to-primitive@1.2.0","MIT","https://github.com/ljharb/es-to-primitive"
"exif-parser@0.1.12","MIT*","https://github.com/bwindels/exif-parser"
"file-type@9.0.0","MIT","https://github.com/sindresorhus/file-type"
"for-each@0.3.3","MIT","https://github.com/Raynos/for-each"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind"
"global@4.3.2","MIT","https://github.com/Raynos/global"
"has-symbols@1.0.0","MIT","https://github.com/ljharb/has-symbols"
"has@1.0.3","MIT","https://github.com/tarruda/has"
"ieee754@1.1.13","BSD-3-Clause","https://github.com/feross/ieee754"
"is-callable@1.1.4","MIT","https://github.com/ljharb/is-callable"
"is-date-object@1.0.1","MIT","https://github.com/ljharb/is-date-object"
"is-function@1.0.1","MIT","https://github.com/grncdr/js-is-function"
"is-regex@1.0.4","MIT","https://github.com/ljharb/is-regex"
"is-symbol@1.0.2","MIT","https://github.com/ljharb/is-symbol"
"jimp@0.8.4","MIT","https://github.com/oliver-moran/jimp"
"jpeg-js@0.3.6","BSD-3-Clause","https://github.com/eugeneware/jpeg-js"
"load-bmfont@1.4.0","MIT","https://github.com/Jam3/load-bmfont"
"lodash@4.17.15","MIT","https://github.com/lodash/lodash"
"mime@1.6.0","MIT","https://github.com/broofa/node-mime"
"min-document@2.19.0","MIT","https://github.com/Raynos/min-document"
"minimist@0.0.8","MIT","https://github.com/substack/minimist"
"mkdirp@0.5.1","MIT","https://github.com/substack/node-mkdirp"
"ms@2.1.2","MIT","https://github.com/zeit/ms"
