"module name","license","repository"
"@babel/polyfill@7.2.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-polyfill"
"@jimp/bmp@0.6.0","MIT",""
"@jimp/core@0.6.0","MIT","https://github.com/oliver-moran/jimp"
"@jimp/custom@0.6.0","MIT",""
"@jimp/gif@0.6.0","MIT",""
"@jimp/jpeg@0.6.0","MIT",""
"@jimp/plugin-blit@0.6.0","MIT",""
"@jimp/plugin-blur@0.6.0","MIT",""
"@jimp/plugin-color@0.6.0","MIT",""
"@jimp/plugin-contain@0.6.0","MIT",""
"@jimp/plugin-cover@0.6.0","MIT",""
"@jimp/plugin-crop@0.6.0","MIT",""
"@jimp/plugin-displace@0.6.0","MIT",""
"@jimp/plugin-dither@0.6.0","MIT",""
"@jimp/plugin-flip@0.6.0","MIT",""
"@jimp/plugin-gaussian@0.6.0","MIT",""
"@jimp/plugin-invert@0.6.0","MIT",""
"@jimp/plugin-mask@0.6.0","MIT",""
"@jimp/plugin-normalize@0.6.0","MIT",""
"@jimp/plugin-print@0.6.0","MIT",""
"@jimp/plugin-resize@0.6.0","MIT",""
"@jimp/plugin-rotate@0.6.0","MIT",""
"@jimp/plugin-scale@0.6.0","MIT",""
"@jimp/plugins@0.6.0","MIT",""
"@jimp/png@0.6.0","MIT",""
"@jimp/tiff@0.6.0","MIT",""
"@jimp/types@0.6.0","MIT",""
"@jimp/utils@0.6.0","MIT",""
"@oopsunome/watermark@1.0.2","MIT","https://github.com/iTonyYo/watermark"
"any-base@1.1.0","MIT","https://github.com/HarasimowiczKamil/any-base"
"base64-js@1.3.0","MIT","https://github.com/beatgammit/base64-js"
"bmp-js@0.1.0","MIT","https://github.com/shaozilee/bmp-js"
"buffer-equal@0.0.1","MIT","https://github.com/substack/node-buffer-equal"
"buffer@5.2.1","MIT","https://github.com/feross/buffer"
"core-js@2.6.1","MIT","https://github.com/zloirock/core-js"
"debug@4.1.1","MIT","https://github.com/visionmedia/debug"
"dom-walk@0.1.1","MIT","https://github.com/Raynos/dom-walk"
"exif-parser@0.1.12","MIT*","https://github.com/bwindels/exif-parser"
"file-type@9.0.0","MIT","https://github.com/sindresorhus/file-type"
"for-each@0.3.3","MIT","https://github.com/Raynos/for-each"
"global@4.3.2","MIT","https://github.com/Raynos/global"
"ieee754@1.1.12","BSD-3-Clause","https://github.com/feross/ieee754"
"is-callable@1.1.4","MIT","https://github.com/ljharb/is-callable"
"is-function@1.0.1","MIT","https://github.com/grncdr/js-is-function"
"jimp@0.6.0","MIT","https://github.com/oliver-moran/jimp"
"jpeg-js@0.3.4","BSD-3-Clause","https://github.com/eugeneware/jpeg-js"
"load-bmfont@1.4.0","MIT","https://github.com/Jam3/load-bmfont"
"lodash@4.17.11","MIT","https://github.com/lodash/lodash"
"mime@1.6.0","MIT","https://github.com/broofa/node-mime"
"min-document@2.19.0","MIT","https://github.com/Raynos/min-document"
"minimist@0.0.8","MIT","https://github.com/substack/minimist"
"mkdirp@0.5.1","MIT","https://github.com/substack/node-mkdirp"
"ms@2.1.1","MIT","https://github.com/zeit/ms"
"omggif@1.0.9","MIT*","https://github.com/deanm/omggif"
"pako@1.0.7","(MIT AND Zlib)","https://github.com/nodeca/pako"
"parse-bmfont-ascii@1.0.6","MIT","https://github.com/mattdesl/parse-bmfont-ascii"
"parse-bmfont-binary@1.0.6","MIT","https://github.com/Jam3/parse-bmfont-binary"
"parse-bmfont-xml@1.1.4","MIT","https://github.com/mattdesl/parse-bmfont-xml"
"parse-headers@2.0.1","MIT","https://github.com/kesla/parse-headers"
"phin@2.9.3","MIT","https://github.com/ethanent/phin"
"pixelmatch@4.0.2","ISC","https://github.com/mapbox/pixelmatch"
"pngjs@3.3.3","MIT","https://github.com/lukeapage/pngjs2"
"process@0.5.2","MIT*","https://github.com/shtylman/node-process"
"regenerator-runtime@0.12.1","MIT","https://github.com/facebook/regenerator/tree/master/packages/regenerator-runtime"
"sax@1.2.4","ISC","https://github.com/isaacs/sax-js"
"timm@1.6.1","MIT","http://guigrpa.github.io/timm/"
"tinycolor2@1.4.1","MIT","https://bgrins.github.com/TinyColor"
"trim@0.0.1","MIT*",""
"utif@2.0.1","MIT","https://github.com/photopea/UTIF.js"
"xhr@2.5.0","MIT","https://github.com/naugtur/xhr"
"xml-parse-from-string@1.0.1","MIT","https://github.com/Jam3/xml-parse-from-string"
"xml2js@0.4.19","MIT","https://github.com/Leonidas-from-XIV/node-xml2js"
"xmlbuilder@9.0.7","MIT","https://github.com/oozcitak/xmlbuilder-js"
"xtend@4.0.1","MIT","https://github.com/Raynos/xtend"
